event_id,event_date,title,location_description,region,landslide_category,trigger,size,fatality_count,latitude,longitude,source_name
9475,2016-07-08,Kheri near Udhampur,Kheri near Udhampur,Kashmir,landslide,continuous_rain,medium,0,32.9041,75.0911,The Indian Express
5176,2013-07-23,"Deval, Chamoli District, Uttarakhand","Deval, Chamoli District, Uttarakhand",Uttarakhand,landslide,downpour,medium,0,30.1944,79.1939,www.dnaindia.com
7685,2015-08-13,IIT Campus in Mandi,IIT Campus in Mandi,Himachal Pradesh,landslide,unknown,medium,0,31.7756,76.9876,Telegraph
9216,2016-07-26,"Jwagdhar village, Sangrah, Sirmaur district, Himachal Pradesh, India","Jwagdhar village, Sangrah, Sirmaur district, Himachal Pradesh, India",Himachal Pradesh,rock_fall,downpour,large,2,30.6935,77.4266,Tribune India
1994,2010-06-16,"rails between Jatinga and Longrangjao(?), Assam","rails between Jatinga and Longrangjao(?), Assam",Assam,landslide,downpour,medium,0,25.0633,92.8025,ptinews
3760,2011-11-07,"NH-61, 1 km before reaching Botsa","NH-61, 1 km before reaching Botsa",Nāgāland,landslide,downpour,medium,0,25.6703,94.1095,morungexpress
5660,2013-11-24,"Kallar, Tamil Nadu","Kallar, Tamil Nadu",Tamil Nadu,rock_fall,downpour,medium,0,11.344,76.8691,articles.timesofindia.indiatimes.com
4015,2011-10-15,"Palani, Dindigul district","Palani, Dindigul district",Tamil Nadu,landslide,downpour,medium,0,10.4497,77.5206,articles.timesofindia
6310,2012-05-08,Kempty falls,Kempty falls,Uttarakhand,rock_fall,unknown,medium,0,30.4876,78.0366,Hindustan Times
6851,2015-10-03,"2 MW Sal-II hydropower project, on the outskirts of Chamba","2 MW Sal-II hydropower project, on the outskirts of Chamba",Himachal Pradesh,mudslide,downpour,medium,0,32.5612,76.1238,The Hindu
4943,2013-06-17,"Almora, Uttarakhand","Almora, Uttarakhand",Uttarakhand,landslide,downpour,medium,4,29.5987,79.6592,ibnlive.in.com
9587,2016-12-10,between Siliguri and Sevak,between Siliguri and Sevak,West Bengal,landslide,downpour,medium,0,26.8692,88.4695,Business Standard
2443,2010-09-18,"villages Pilkha(?), Devali(?), and Balta(?), Avalbagh block(?), Almora(Almorah) district, Uttarakhand","villages Pilkha(?), Devali(?), and Balta(?), Avalbagh block(?), Almora(Almorah) district, Uttarakhand",Uttarakhand,landslide,downpour,large,24,29.6042,79.5343,timesofindia.indiatimes
2183,2010-07-31,NH-22 near Taradevi,NH-22 near Taradevi,Himachal Pradesh,landslide,downpour,medium,0,31.0655,77.1325,gsi.gov
1156,2009-12-09,"Vamanapuram, Thiruvananthapuram district in the state of Kerala","Vamanapuram, Thiruvananthapuram district in the state of Kerala",Kerala,landslide,rain,medium,1,8.742,76.8902,asianetindia
4480,2012-08-17,"Kadavoor, Erakulam, Kerala","Kadavoor, Erakulam, Kerala",Kerala,landslide,downpour,medium,6,10.0011,76.7416,ibnlive.in
709,2008-12-08,Yedakumeri-Shiribagilu in the Hassan-Mangalore section of the line.,Yedakumeri-Shiribagilu in the Hassan-Mangalore section of the line.,Karnataka,landslide,rain,medium,0,12.845,75.66,daijiworld
6566,2011-08-27,Kathua-Billawar road,Kathua-Billawar road,Kashmir,landslide,downpour,medium,0,32.6188,75.3504,IBN Live
7139,2015-07-07,Kurseong,Kurseong,West Bengal,landslide,continuous_rain,medium,1,26.8826,88.2806,The Indian Express
5365,2013-08-19,"Nalupani Area Of Uttarkashi District, Uttarakhand","Nalupani Area Of Uttarkashi District, Uttarakhand",Uttarakhand,debris_flow,downpour,medium,0,30.6293,78.3303,zeenews.india.com
692,2008-07-08,"National Highway-39, Dimapur-Imphal road and another under Kiphire district of Nagaland","National Highway-39, Dimapur-Imphal road and another under Kiphire district of Nagaland",Nāgāland,landslide,downpour,medium,0,25.705,94.04,kanglaonline
3633,2011-06-20,Mokokchung,Mokokchung,Nāgāland,landslide,downpour,medium,0,26.3186,94.5121,morungexpress
703,2008-09-08,"Goa-Karnataka link, near Dudhsagar waterfall","Goa-Karnataka link, near Dudhsagar waterfall",Goa,landslide,rain,medium,0,15.15,74.11,hindu
7374,2015-01-08,Ukhrul town Circular road from Rayotang to Viewland Zone II,Ukhrul town Circular road from Rayotang to Viewland Zone II,Manipur,landslide,continuous_rain,medium,0,25.1122,94.3591,E-PAO
4446,2012-05-07,"Tuting, Upper Siang , Arunachal Pradesh","Tuting, Upper Siang , Arunachal Pradesh",Arunachal Pradesh,landslide,downpour,large,0,28.9986,94.8885,articles.timesofindia
2341,2010-08-26,"NH-31A at Topakhani tunnel(?) and fruit preservation factory(?) and Chisopani bridge(?), near Singtam and Gangtok and Rangpo, Sikkim","NH-31A at Topakhani tunnel(?) and fruit preservation factory(?) and Chisopani bridge(?), near Singtam and Gangtok and Rangpo, Sikkim",,landslide,downpour,medium,0,27.2319,88.497,thehimalayanbeacon.com
3861,2011-07-29,Uttar Pradesh,Uttar Pradesh,Uttar Pradesh,landslide,downpour,medium,6,27.5862,80.1306,articles.timesofindia
7185,2015-03-04,"3km ahead of Palchan, Manali-Palchan","3km ahead of Palchan, Manali-Palchan",Himachal Pradesh,landslide,downpour,small,0,32.2934,77.1803,The Tribune
410,2008-06-01,"Kandi Canal Project, Gandoh area, Doda district, Kashmir","Kandi Canal Project, Gandoh area, Doda district, Kashmir",Kashmir,landslide,rain,medium,1,33.1517,75.5464,naknews.co
3113,2011-02-13,"road between Rajouri(Rajauri) and Poonch(Punch), Jammu and Kashmir","road between Rajouri(Rajauri) and Poonch(Punch), Jammu and Kashmir",Kashmir,landslide,downpour,medium,0,33.577,74.1872,news.in
2098,2010-07-19,"Jahjon ward(?), Mon town, Nagaland","Jahjon ward(?), Mon town, Nagaland",Nāgāland,landslide,downpour,medium,0,26.7215,95.0283,nagalandpost
2294,2010-08-20,"Lambagad(?), Rishikesh-Badrinath highway, Uttarakhand","Lambagad(?), Rishikesh-Badrinath highway, Uttarakhand",Uttarakhand,landslide,downpour,medium,0,30.3846,78.8371,dnaindia
7616,2015-06-08,Atlanta Point,Atlanta Point,Andaman and Nicobar Islands,other,downpour,medium,0,11.6753,92.749,Echo of India
269,2007-09-18,Geyzing-Jorethang road and Naya Bazar-Legship road,Geyzing-Jorethang road and Naya Bazar-Legship road,Sikkim,landslide,rain,medium,0,27.2872,88.2816,thestatesman.net
2137,2010-07-25,Nahan roads,Nahan roads,Himachal Pradesh,landslide,downpour,medium,0,30.5589,77.2889,himvani
2309,2010-08-22,"Chandoli(?) and Karchuna(?) vilalges, Pokkhri, Chamoli, Uttarakhand, Uttranchal","Chandoli(?) and Karchuna(?) vilalges, Pokkhri, Chamoli, Uttarakhand, Uttranchal",Uttarakhand,landslide,downpour,medium,0,30.4238,79.6724,english.samaylive
2205,2010-06-08,"Dawrpui Vengthar cemetary, Aizwal, Mizoram","Dawrpui Vengthar cemetary, Aizwal, Mizoram",Mizoram,landslide,downpour,medium,0,23.7365,92.7146,gsi.gov
4610,2012-11-11,"Dapchhuah, Mamit, Mizoram","Dapchhuah, Mamit, Mizoram",Mizoram,landslide,downpour,medium,4,23.7705,92.5217,assamtribune
8680,2016-03-07,"Malshej ghat, Maharashtra, India","Malshej ghat, Maharashtra, India",Maharashtra,rock_fall,monsoon,medium,0,19.336,73.7793,Times of India
